Skupina,Téma,Téma ID,Země,Kód,Web,Doména,Popis,Typ,Přístup,Data,Zdroj,Návštěvy,Unikátních URL,Poslední návštěva,URL,ID,Ověřeno
Geodata,Geoportály a NSDI,geoportal,Česko,CZ,ČÚZK (rozcestník),cuzk.gov.cz,Hlavní web zeměměřického a katastrálního úřadu,official,open,none,history,9,5,2026-08-20,https://www.cuzk.gov.cz/,cz-cuzk-rozcestnik,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Česko,CZ,Národní geoportál INSPIRE (CENIA),geoportal.gov.cz,"CZ INSPIRE katalog — metadata a služby napříč resorty, včetně historického ortofota z 50. let",official,open,ogc,reference,,,,https://geoportal.gov.cz/,cz-narodni-geoportal-inspire-cenia,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Česko,CZ,Geoportál Praha,geoportalpraha.cz,"Pražská geodata a open data — ortofota, územní plán, 3D model",regional,open,api,reference,,,,https://www.geoportalpraha.cz/,cz-geoportal-praha,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Česko,CZ,Portál DMVS (ČÚZK),dmvs.cuzk.gov.cz,Portál digitální mapy veřejné správy — bezešvé prohlížení krajských digitálních technických map (DTM) a stahování dat v jednotném formátu JVF DTM,official,open,ogc,reference,,,,https://dmvs.cuzk.gov.cz/,cz-portal-dmvs-cuzk,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Česko,CZ,ČÚZK — Mapové služby,services.cuzk.gov.cz,"Mapový server ČÚZK — bezúplatné WMS/WFS/WMTS endpointy katastrální mapy, ortofota, ZABAGED a RÚIAN, odtud se berou URL do QGIS nebo skriptu",official,open,ogc,reference,,,,https://services.cuzk.gov.cz/,cz-cuzk-mapove-sluzby,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Dánsko,DK,Dataforsyningen,dataforsyningen.dk,"Distribuce dánských veřejných geodat — katastrální parcely, adresy, budovy, ortofota a výškopis jako služby i ke stažení. **Data jsou od roku 2013 zdarma**, přístup přes bezplatný token. Dánsko otevřelo geodata jako první v EU",official,registration,api,reference,,,,https://dataforsyningen.dk/,dk-dataforsyningen,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Estonsko,EE,Maa-ameti geoportaal,geoportaal.maaamet.ee,"Estonský geoportál pozemkového úřadu — katastrální mapa, adresy, budovy, ortofota a laserové skenování, **zdarma jako WMS/WFS i ke stažení**. Estonsko otevřelo geodata bez licenčních omezení dřív než většina EU",official,open,ogc,reference,,,,https://geoportaal.maaamet.ee/,ee-geoportaal,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Finsko,FI,Paikkatietoikkuna,paikkatietoikkuna.fi,"Finský národní geoportál — prohlížečka a katalog prostorových dat napříč státními úřady a obcemi, s odkazy na WMS a WFS služby. Vstupní bod k finským geodatům",official,open,ogc,reference,,,,https://www.paikkatietoikkuna.fi/,fi-paikkatietoikkuna,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Francie,FR,cartes.gouv.fr,cartes.gouv.fr,"Nová francouzská geoplatforma, na kterou se přesouvají Géoservices IGN — vyhledávání datových sad, mapové služby WMS/WMTS/WFS a stahování. Nahrazuje geoservices.ign.fr, který sem přesměrovává",official,open,ogc,reference,,,,https://cartes.gouv.fr/,fr-cartes-gouv,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Francie,FR,Géoportail,geoportail.gouv.fr,"Veřejná mapová prohlížečka IGN — ortofota včetně historických, katastrální plán, územní plány, rizika a stovky tematických vrstev nad sebou. Nejrychlejší cesta k pohledu na konkrétní francouzský pozemek",official,open,ogc,reference,,,,https://www.geoportail.gouv.fr/,fr-geoportail,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Německo,DE,BKG — Bundesamt für Kartographie und Geodäsie,bkg.bund.de,"Spolkový úřad pro kartografii a geodézii — správce německých referenčních geodat: hranice všech úrovní (VG25 až VG5000), zeměpisná jména, digitální model reliéfu a základní mapy. Katastr spolek nevede, ten je věcí zemí",official,open,ogc,reference,,,,https://www.bkg.bund.de/,de-bkg,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Německo,DE,Geoportal.de,geoportal.de,"Centrální vyhledávání německých prostorových dat napříč spolkem, zeměmi a obcemi — metadata a přímé odkazy na služby, včetně katastrálních vrstev ALKIS jednotlivých zemí. Praktická cesta k zemským datům, aniž by se obcházelo šestnáct zemských geoportálů",official,open,ogc,reference,,,,https://www.geoportal.de/,de-geoportal,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Maďarsko,HU,Lechner Tudásközpont,lechnerkozpont.hu,"Maďarské centrum prostorových dat — správce národních geodat, ortofot, adresního registru a systému územního plánování. Provozuje také e-építés, kde běží stavební řízení a evidence povolení",official,open,ogc,reference,,,,https://www.lechnerkozpont.hu/,hu-lechner,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Irsko,IE,GeoHive,geohive.ie,"Irský národní geoportál — administrativní hranice, adresní body, ortofota, výškopis a tematické vrstvy jako mapové služby i ke stažení. Otevřená část irských geodat; adresní kódy Eircode jsou licencované zvlášť",official,open,ogc,reference,,,,https://www.geohive.ie/,ie-geohive,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Itálie,IT,Geoportale Nazionale / RNDT,geodati.gov.it,"Italský národní geoportál a repertorio národních územních dat (RNDT) — katalog metadat a služeb státu, regionů a obcí. Itálie má geodata převážně na regionech, tohle je federující vrstva, přes kterou se najdou",official,open,ogc,reference,,,,https://geodati.gov.it/geoportale/,it-geodati,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Itálie,IT,Geoportale Nazionale (MASE),gn.mase.gov.it,"Geoportál ministerstva životního prostředí — celostátní ortofota, výškopis, land cover, hydrografie a environmentální vrstvy jako WMS a ke stažení. Starší adresa pcn.minambiente.it sem vede",official,open,ogc,reference,,,,https://gn.mase.gov.it/portale/home,it-geoportale-mase,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Lotyšsko,LV,LĢIA — Latvijas Ģeotelpiskās informācijas aģentūra,lgia.gov.lv,"Lotyšská agentura pro geoprostorové informace — topografické mapy, ortofota, výškopis a geodetické základy. Část produkce je otevřená, část zpoplatněná; katastr vede zvlášť Valsts zemes dienests",official,mixed,download,reference,,,,https://www.lgia.gov.lv/,lv-lgia,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Litva,LT,Lietuvos geoportalas,geoportal.lt,"Litevský národní geoportál — katalog prostorových dat, mapová prohlížečka a WMS/WFS služby napříč státními institucemi. Vstupní bod k litevským geodatům",official,open,ogc,reference,,,,https://www.geoportal.lt/,lt-geoportal,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Lucembursko,LU,Geoportail Luxembourg,geoportail.lu,"Lucemburský národní geoportál — **katastrální mapa, adresy, budovy, ortofota, výškopis a územní plány**, zdarma jako prohlížečka i OGC služby. Malá země s velmi dobře udělaným geoportálem",official,open,ogc,reference,,,,https://www.geoportail.lu/,lu-geoportail,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Nizozemsko,NL,PDOK — Publieke Dienstverlening Op de Kaart,pdok.nl,"Centrální distribuce nizozemských veřejných geodat — základní registry BAG, BGT, BRT, výškopis AHN, ortofota a stovky dalších sad jako OGC služby i ke stažení, zdarma. Jedno z nejlépe udělaných národních geodatových řešení v EU",official,open,ogc,reference,,,,https://www.pdok.nl/,nl-pdok,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Nizozemsko,NL,Nationaal Georegister,nationaalgeoregister.nl,"Katalog metadat nizozemských prostorových dat — INSPIRE i národní sady napříč resorty, provinciemi a vodními správami, s odkazy na služby. Doplňuje PDOK o data, která PDOK sám nedistribuuje",official,open,ogc,reference,,,,https://www.nationaalgeoregister.nl/,nl-nationaalgeoregister,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Polsko,PL,Geoportal krajowy,geoportal.gov.pl,"Národní geoportál GUGiK a rozcestník polské infrastruktury prostorových dat — vyhledávání dat PZGiK, přehled licencí a odkazy na prohlížecí i stahovací služby",official,open,ogc,reference,,,,https://www.geoportal.gov.pl/,pl-geoportal-krajowy,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Polsko,PL,Geoportal — mapová aplikace,mapy.geoportal.gov.pl,"Hlavní mapový klient geoportálu — ortofoto, BDOT10k, parcely EGiB, NMT, adresy a hranice v jednom okně, s možností připojit vlastní WMS",official,open,none,reference,,,,https://mapy.geoportal.gov.pl/imap/Imgp_2.html,pl-geoportal-mapova-aplikace,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Polsko,PL,GUGiK,gov.pl,"Główny Urząd Geodezji i Kartografii — polská obdoba ČÚZK: správce státního geodetického fondu PZGiK, geoportálu a celostátních registrů PRG, PRNG a EGiB",official,open,none,reference,,,,https://www.gov.pl/web/gugik,pl-gugik,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Polsko,PL,Otevřená data GUGiK,opendata.geoportal.gov.pl,"Stahovací služba pro otevřená data geoportálu — ortofoto, NMT a NMPT, mračna LIDAR, BDOT10k a PRG po listech a okresech, bez registrace",official,open,bulk,reference,,,,https://opendata.geoportal.gov.pl/,pl-otevrena-data-gugik,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Polsko,PL,Wykaz usług (WMS/WMTS/WFS),geoportal.gov.pl,"Katalog síťových služeb geoportálu s adresami endpointů — prohlížecí WMS a WMTS, stahovací WFS a ATOM ke každé sadě PZGiK",official,open,ogc,reference,,,,https://www.geoportal.gov.pl/wykaz-uslug/,pl-wykaz-usug-wms-wmts-wfs,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Polsko,PL,Geoportal e-mapa.net,polska.e-mapa.net,"Celostátní prohlížeč skládající data okresních a obecních geoportálů provozovaných Geo-Systemem — parcely, adresy a územní plány tam, kde úřad nemá vlastní veřejnou aplikaci",commercial,open,none,reference,,,,https://polska.e-mapa.net/,pl-geoportal-e-mapa-net,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Portugalsko,PT,POINT / DGT — Direção-Geral do Território,point.dgterritorio.gov.pt,"Portugalský úřad pro území — ortofota, výškopis, land cover COS a územně plánovací data, s mapovými službami a stahováním. Katastr v Portugalsku plošně neexistuje, DGT vede referenční geodata a evidenci územních plánů",official,open,ogc,reference,,,,https://point.dgterritorio.gov.pt/,pt-point,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Portugalsko,PT,SNIG — národní systém geografické informace,snig.dgterritorio.gov.pt,"Portugalská infrastruktura prostorových dat — katalog metadat a služeb napříč úřady a autonomními regiony Azory a Madeira. Vstupní bod k tomu, kdo kterou vrstvu vede",official,open,ogc,reference,,,,https://snig.dgterritorio.gov.pt/,pt-snig,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Slovensko,SK,GKÚ / ÚGKK SR,gku.sk,"Geodetický a kartografický ústav — správce slovenských referenčních geodat: ZBGIS, ortofotomozaika, výškopis z leteckého laserového skenování a geodetické základy, s mapovými a stahovacími službami. Původní geoportal.sk sem dnes vede",official,open,ogc,reference,,,,https://www.gku.sk/gku/,sk-gku,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Slovinsko,SI,e-Prostor (GURS),e-prostor.gov.si,"Portál slovinské geodetské správy — katastr nemovitostí, registr budov, adresní registr, ortofoto a výškopis, s mapovými a stahovacími službami. Slovinsko má katastr, budovy i adresy v jednom systému, což je proti sousedům úsporné",official,open,ogc,reference,,,,https://www.e-prostor.gov.si/,si-e-prostor,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Španělsko,ES,IDEE — Infraestructura de Datos Espaciales de España,idee.es,"Španělská infrastruktura prostorových dat — katalog metadat a služeb státu i autonomních společenství. Španělsko má geodata z velké části na regionech, tohle je federující vrstva, přes kterou jsou dosažitelná",official,open,ogc,reference,,,,https://www.idee.es/,es-idee,2026-08-28
Geodata,Geoportály a NSDI,geoportal,Švédsko,SE,Geodata.se,geodata.se,"Švédská infrastruktura prostorových dat — katalog metadat a služeb napříč státními úřady, kraji a obcemi. Vstupní bod k tomu, kdo kterou švédskou vrstvu vede",official,open,ogc,reference,,,,https://www.geodata.se/,se-geodata,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Rakousko,AT,Kataster BEV,kataster.bev.gv.at,"Rakouská katastrální mapa spolkového zeměměřického úřadu — parcely s čísly, hranice, budovy a katastrální území, prohlížení zdarma. Popisná data a vlastníky vede zvlášť Grundstücksdatenbank u justice, ta je zpoplatněná",official,open,ogc,reference,,,,https://kataster.bev.gv.at/,at-bev-kataster,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Rakousko,AT,Grundbuch a Grundstücksdatenbank,justizonline.gv.at,"Rakouská pozemková kniha přes portál justice — vlastníci, zástavní práva, věcná břemena a plomby k jednotlivým vložkám. Náhled je zpoplatněný a účtuje se za dotaz, obvykle přes pověřené zprostředkovatele (Verrechnungsstellen)",official,paid,search,reference,,,,https://justizonline.gv.at/jop/web/home,at-grundbuch,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Belgie,BE,CadGIS — katastrální plán,minfin.fgov.be,"Katastrální plán vedený federální finanční správou — parcely, budovy a katastrální čísla pro celou Belgii, prohlížení zdarma. Vlastníka a hodnotu (kadastraal inkomen) ukáže jen přihlášenému vlastníkovi přes MyMinfin",official,open,ogc,reference,,,,https://www.minfin.fgov.be/myminfin-web/,be-cadgis,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Bulharsko,BG,"АГКК — Агенция по геодезия, картография и кадастър",cadastre.bg,"Bulharská agentura pro geodézii, kartografii a katastr — správce katastrální mapy, adresního registru a státní geodetické sítě. Mapa je veřejná; výpisy z katastru se objednávají přes portál KAIS",official,open,ogc,reference,,,,https://www.cadastre.bg/,bg-cadastre,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Bulharsko,BG,KAIS — kadastrálno-administrativen portal,kais.cadastre.bg,"Bulharský katastrálně-administrativní informační systém — prohlížení katastrální mapy s parcelami a budovami zdarma, **výpisy a schémata za poplatek** po registraci. Vlastnická práva vede zvlášť Imotenský registr u Registrové agentury",official,mixed,search,reference,,,,https://kais.cadastre.bg/,bg-kais,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Bulharsko,BG,Агенция по вписванията,registryagency.bg,"Bulharská registrová agentura — vede obchodní rejstřík, **imotenský registr (vlastnická práva k nemovitostem)** a registr osob bez majetku. Vlastnická práva jsou oddělená od katastrální mapy a výpisy z nich jsou zpoplatněné",official,mixed,search,reference,,,,https://www.registryagency.bg/,bg-registryagency,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Chorvatsko,HR,DGU — Državna geodetska uprava,dgu.gov.hr,"Chorvatská státní geodetická správa — katastr, adresní registr, ortofota a topografie. Katastr a pozemková kniha jsou v Chorvatsku **dva oddělené systémy**, které program Uređena zemlja propojuje; DGU vede katastr",official,open,ogc,reference,,,,https://dgu.gov.hr/,hr-dgu,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Chorvatsko,HR,Zajednički informacijski sustav (OSS),oss.uredjenazemlja.hr,"Společný systém katastru a pozemkové knihy — **výpis z pozemkové knihy s vlastníky a břemeny online a zdarma**, propojený s katastrální parcelou. To, co je v Rakousku nebo Itálii placené, je v Chorvatsku veřejné",official,open,search,reference,,,,https://oss.uredjenazemlja.hr/,hr-uredjenazemlja,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Kypr,CY,Department of Lands and Surveys — portál,portal.dls.moi.gov.cy,"Kyperský pozemkový a zeměměřický úřad — katastrální mapa, parcely a nemovitostní evidence, s prohlížečkou a mapovými službami. **Popisuje jen území pod kontrolou Kyperské republiky**; na severu ostrova se acquis neuplatňuje. Výpisy jsou zpoplatněné",official,mixed,ogc,reference,,,,https://portal.dls.moi.gov.cy/,cy-dls-portal,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Česko,CZ,ČÚZK — Dálkový přístup do KN,katastr.cuzk.gov.cz,"Dálkový přístup do KN — placená služba pro registrované uživatele, on-line výstupy z ISKN (LV, parcely, řízení); kořen domény dnes vede na cuzk.gov.cz/aplikace-dp",official,paid,search,history,36,14,2026-08-20,https://katastr.cuzk.gov.cz/,cz-cuzk-dalkovy-pristup-do-kn,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Česko,CZ,Nahlížení do KN,nahlizenidokn.cuzk.gov.cz,"Veřejné nahlížení do KN zdarma a bez registrace — parcely, budovy, jednotky, LV a vlastníci; API zde není, na strojový přístup slouží samostatné REST API na api-kn.cuzk.gov.cz",official,open,search,history,9,5,2026-06-25,https://nahlizenidokn.cuzk.gov.cz/,cz-nahlizeni-do-kn,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Česko,CZ,SGI Nahlížení do KN,sgi-nahlizenidokn.cuzk.gov.cz,"Grafická část — katastrální mapa, mapové služby",official,open,ogc,history,4,1,2026-06-26,https://sgi-nahlizenidokn.cuzk.gov.cz/,cz-sgi-nahlizeni-do-kn,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Česko,CZ,ČÚZK — Žádosti,zadosti.cuzk.gov.cz,"Žádosti o zřízení dálkového přístupu do KN, o výdej dat ve výměnném formátu ISKN (VFK) a o souhlas se šířením údajů katastru",official,registration,none,history,4,3,2026-08-06,https://zadosti.cuzk.gov.cz/,cz-cuzk-zadosti,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Česko,CZ,REST API dat katastru nemovitostí (ČÚZK),api-kn.cuzk.gov.cz,"Bezplatné REST API ke katastru — parcely, budovy, jednotky a řízení v JSON, po registraci přes Identitu občana nebo účet dálkového přístupu",official,open,api,reference,,,,https://api-kn.cuzk.gov.cz/,cz-rest-api-dat-katastru-nemovitosti-cuzk,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Dánsko,DK,Matriklen,matriklen.dk,"Dánský katastr — **parcely, jejich hranice, výměry a katastrální označení pro celé Dánsko**, jako základní registr. Geometrie je zdarma přes Dataforsyningen a Datafordeleren; vlastnická práva vede zvlášť pozemková kniha Tinglysning",official,open,api,reference,,,,https://www.matriklen.dk/,dk-matriklen,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Estonsko,EE,X-GIS / Maainfo,xgis.maaamet.ee,"Mapová aplikace estonského katastru — **parcely s katastrálním číslem, výměrou, účelem využití a cenou zdarma a bez přihlášení**; jméno vlastníka je chráněné. Součástí jsou i geologické, půdní a ochranné vrstvy",official,open,ogc,reference,,,,https://xgis.maaamet.ee/,ee-xgis,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Finsko,FI,Maanmittauslaitos,maanmittauslaitos.fi,"Finský zeměměřický úřad — **katastr, pozemková kniha, adresy, budovy, ortofota a laserové skenování**. Referenční geodata jsou od roku 2012 otevřená a zdarma; **výpisy z pozemkové knihy s vlastníkem jsou zpoplatněné**",official,mixed,api,reference,,,,https://www.maanmittauslaitos.fi/,fi-maanmittauslaitos,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Francie,FR,Cadastre (data.gouv.fr),cadastre.data.gouv.fr,"Francouzský katastrální plán jako otevřená data — parcely, budovy a sekce v GeoJSON a shapefile po departementech, měsíčně aktualizované. Geometrie je otevřená; vlastníky vede daňová správa a veřejné nejsou",official,open,bulk,reference,,,,https://cadastre.data.gouv.fr/,fr-cadastre-data,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Francie,FR,Cadastre.gouv.fr,cadastre.gouv.fr,"Oficiální prohlížečka katastrálního plánu daňové správy — vyhledání parcely podle adresy nebo čísla, výřez plánu a objednání výpisu. Údaje o vlastníkovi ukáže jen samotnému vlastníkovi",official,open,download,reference,,,,https://www.cadastre.gouv.fr/,fr-cadastre-gouv,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Německo,DE,AdV — Arbeitsgemeinschaft der Vermessungsverwaltungen,adv-online.de,"Sdružení zeměměřických správ spolkových zemí. **Německo nemá celostátní katastr** — vede ho šestnáct zemí, každá s vlastním portálem a cenami. AdV standardizuje datové modely ALKIS a ATKIS; odsud se dohledá, na koho se pro danou zemi obrátit",official,open,none,reference,,,,https://www.adv-online.de/de,de-adv,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Řecko,GR,Ελληνικό Κτηματολόγιο,ktimatologio.gr,"Řecký katastr. Řecko dokončovalo první plošný katastr teprve v posledních letech — do té doby fungovaly hypotéční knihy (υποθηκοφυλακεία). Prohlížečka parcel je veřejná, výpisy zpoplatněné. Na automat vrací 403, v prohlížeči funguje",official,mixed,ogc,reference,,,,https://www.ktimatologio.gr/,gr-ktimatologio,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Maďarsko,HU,Földhivatal,foldhivatal.hu,Maďarská pozemková evidence — katastrální mapa a pozemková kniha (tulajdoni lap) s vlastníky a břemeny. **Výpisy jsou zpoplatněné** a vydávají se přes systém TakarNet nebo elektronicky s přihlášením,official,paid,search,reference,,,,https://www.foldhivatal.hu/,hu-foldhivatal,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Maďarsko,HU,TakarNet / Földhivatal Online,takarnet.hu,"Elektronický výdej maďarských pozemkových údajů — výpisy z pozemkové knihy a katastrální mapy pro registrované uživatele, za poplatek. Bezplatný veřejný náhled na vlastníka Maďarsko nemá",official,paid,search,reference,,,,https://www.takarnet.hu/,hu-takarnet,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Irsko,IE,Tailte Éireann,tailte.ie,"Irský úřad vzniklý sloučením Ordnance Survey Ireland, Property Registration Authority a Valuation Office — mapy, **pozemkový rejstřík (Land Registry) a rejstřík listin**. Mapy jsou zčásti otevřené přes GeoHive, **výpisy z pozemkového rejstříku jsou zpoplatněné**",official,paid,ogc,reference,,,,https://www.tailte.ie/,ie-tailte,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Itálie,IT,Geoportale del Catasto,geoportale.cartografia.agenziaentrate.gov.it,Italská katastrální mapa vedená daňovou správou — parcely a budovy s katastrálními identifikátory pro celou Itálii kromě autonomních provincií Trento a Bolzano. Mapa je veřejná a má WMS; vlastnická data jsou zpoplatněná,official,open,ogc,reference,,,,https://geoportale.cartografia.agenziaentrate.gov.it/,it-catasto-geoportale,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Itálie,IT,Agenzia delle Entrate — katastr a nemovitosti,agenziaentrate.gov.it,"Italská daňová a katastrální správa — výpisy z katastru (visure catastali), údaje o vlastnících a **statistiky nemovitostního trhu OMI se čtvrtletními cenami za m² po zónách**. Výpisy jsou zpoplatněné, statistiky OMI veřejné",official,paid,search,reference,,,,https://www.agenziaentrate.gov.it/portale/,it-agenziaentrate,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Lotyšsko,LV,Kadastrs.lv,kadastrs.lv,"Lotyšský katastrální portál — **parcely, budovy, výměry, katastrální hodnota a využití zdarma**; údaje o vlastníkovi a podrobné výpisy jsou zpoplatněné. Provozuje Státní pozemková služba",official,mixed,search,reference,,,,https://www.kadastrs.lv/,lv-kadastrs,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Lotyšsko,LV,VZD — Valsts zemes dienests,vzd.gov.lv,"Lotyšská státní pozemková služba — správce katastru, adresního registru a evidence budov, s otevřenými datovými sadami a placenými výdejními službami",official,mixed,api,reference,,,,https://www.vzd.gov.lv/,lv-vzd,2026-08-28
Geodata,Katastr a pozemkové knihy,cadastre,Litva,LT,Registrų centras — Nekilnojamojo turto registras,registrucentras.lt,"Litevský nemovitostní registr a katastr vedený Registrų centras — parcely, budovy, vlastnická práva a věcná břemena, s mapovou prohlížečkou. Základní údaje a mapové vrstvy zdarma, **výpisy jsou zpoplatněné za dokument**. Obchodní rejstřík, adresy, insolvence a skuteční majitelé jsou u téže instituce, ale jako samostatné registry",official,mixed,api,reference,,,,https://www.registrucentras.lt/nekilnojamas-turtas/,lt-registrucentras,2026-08-28
